,h,b,t,r_o,r_i,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
SHS160x14.2,160,160,14.2,21.3,14.2,63.3,603,8065,4033,4033,28090000,59,351100,435800,28090000,59,351100,435800,45790000,508000,hot
SHS180x14.2,180,180,14.2,21.3,14.2,72.2,683,9201,4601,4601,41540000,67.2,461600,566300,41540000,67.2,461600,566300,67110000,669500,hot
SHS200x14.2,200,200,14.2,21.3,14.2,81.1,763,10337,5169,5169,58720000,75.4,587200,714000,58720000,75.4,587200,714000,94170000,853700,hot
SHS220x14.2,220,220,14.2,21.3,14.2,90.1,843,11473,5737,5737,80070000,83.5,727900,878600,80070000,83.5,727900,878600,127700000,1060000,hot
SHS250x14.2,250,250,14.2,21.3,14.2,103.4,963,13177,6589,6589,120900000,95.8,967500,1158000,120900000,95.8,967500,1158000,191400000,1413000,hot
SHS260x14.2,260,260,14.2,21.3,14.2,107.9,1003,13745,6873,6873,137100000,99.9,1055000,1259000,137100000,99.9,1055000,1259000,216600000,1542000,hot
SHS300x14.2,300,300,14.2,21.3,14.2,125.7,1163,16017,8009,8009,216400000,116.2,1442000,1708000,216400000,116.2,1442000,1708000,339400000,2114000,hot
SHS350x14.2,350,350,14.2,21.3,14.2,148,1363,18857,9429,9429,352100000,136.6,2012000,2364000,352100000,136.6,2012000,2364000,548800000,2957000,hot
SHS400x14.2,400,400,14.2,21.3,14.2,170.3,1563,21697,10849,10849,535300000,157.1,2676000,3127000,535300000,157.1,2676000,3127000,830300000,3942000,hot
SHS400x20,400,400,20,30,20,235.3,1548,29971,14985,14985,715300000,154.5,3577000,4247000,715300000,154.5,3577000,4247000,1125000000,5237000,hot
