Unnamed: 0,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
RHS80x40x3,80.0,40.0,3.0,6.0,3.0,5.19,230.0,661.0,441.0,220.0,522499.99999999994,28.1,13060.0,16540.0,175600.0,16.3,8778.0,10160.0,438800.0,15280.0
RHS80x40x4,80.0,40.0,4.0,8.0,4.0,6.71,226.0,855.0,570.0,285.0,647900.0,27.5,16200.0,20910.0,214900.0,15.9,10740.0,12770.0,552400.0,18840.0
RHS80x40x5,80.0,40.0,5.0,10.0,5.0,8.13,223.0,1036.0,690.0,345.0,751100.0,26.9,18780.0,24740.0,245900.0,15.4,12300.0,15020.0,649700.0,21740.0
RHS80x60x2,80.0,60.0,2.0,4.0,2.0,4.19,273.0,534.0,305.0,229.0,495300.0,30.5,12380.0,14730.0,318700.0,24.4,10620.0,12110.0,612200.0,17080.0
RHS80x60x2.5,80.0,60.0,2.5,5.0,2.5,5.17,271.0,659.0,377.0,282.0,601300.0,30.2,15030.0,18020.0,386100.0,24.2,12870.0,14810.0,750700.0,20730.0
RHS80x60x3,80.0,60.0,3.0,6.0,3.0,6.13,270.0,781.0,446.0,335.0,700500.0,30.0,17510.0,21160.0,448900.0,24.0,14960.0,17370.0,883500.0,24140.0
RHS80x60x4,80.0,60.0,4.0,8.0,4.0,7.97,266.0,1015.0,580.0,435.0,879200.0,29.4,21980.0,26990.0,561200.0,23.5,18710.0,22120.0,1131000.0,30320.0
RHS80x60x5,80.0,60.0,5.0,10.0,5.0,9.7,263.0,1236.0,706.0,530.0,1032999.9999999999,28.9,25820.0,32240.000000000004,656600.0,23.1,21890.0,26380.0,1355000.0,35670.0
RHS90x50x2,90.0,50.0,2.0,4.0,2.0,4.19,273.0,534.0,343.0,191.0,578800.0,32.9,12860.0,15740.0,233700.0,20.9,9347.0,10500.0,533700.0,15880.0
RHS90x50x2.5,90.0,50.0,2.5,5.0,2.5,5.17,271.0,659.0,424.0,235.0,702600.0,32.7,15610.0,19250.0,282400.0,20.7,11290.0,12820.0,653000.0,19240.0
RHS90x50x3,90.0,50.0,3.0,6.0,3.0,6.13,270.0,781.0,502.0,279.0,818500.0,32.4,18190.0,22600.0,327400.0,20.5,13100.0,15030.0,766700.0,22360.0
RHS90x50x4,90.0,50.0,4.0,8.0,4.0,7.97,266.0,1015.0,652.0,362.0,1026999.9999999999,31.8,22820.0,28820.0,407100.0,20.0,16280.000000000002,19090.0,977000.0,27960.0
RHS90x50x5,90.0,50.0,5.0,10.0,5.0,9.7,263.0,1236.0,794.0,441.0,1206000.0,31.2,26800.0,34410.0,473700.0,19.6,18950.0,22700.0,1165000.0,32750.0
RHS100x40x2.5,100.0,40.0,2.5,5.0,2.5,5.17,271.0,659.0,471.0,188.0,793200.0,34.7,15860.0,20230.0,187800.0,16.9,9389.0,10590.0,505200.0,16760.0
RHS100x40x3,100.0,40.0,3.0,6.0,3.0,6.13,270.0,781.0,558.0,223.0,923400.0,34.4,18470.0,23750.0,216700.0,16.7,10840.0,12380.0,590500.0,19390.0
RHS100x40x4,100.0,40.0,4.0,8.0,4.0,7.97,266.0,1015.0,725.0,290.0,1157000.0,33.8,23140.0,30260.0,266900.0,16.2,13350.0,15650.0,745300.0,24040.0
