Unnamed: 0,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS323.9x10,323.9,10.0,77.4,1018.0,9861.0,6278.0,121600000.0,111.0,750700.0,985700.0,243200000.0,1501000.0
CHS323.9x12.5,323.9,12.5,96.0,1018.0,12229.0,7785.0,148500000.0,110.2,916700.0,1213000.0,296900000.0,1833000.0
CHS323.9x14.2,323.9,14.2,108.5,1018.0,13816.0,8795.0,166000000.0,109.6,1025000.0,1363000.0,332000000.0,2050000.0
CHS323.9x16,323.9,16.0,121.5,1018.0,15477.0,9853.0,183900000.0,109.0,1136000.0,1518000.0,367800000.0,2271000.0
CHS323.9x20,323.9,20.0,149.9,1018.0,19095.0,12156.0,221400000.0,107.7,1367000.0,1850000.0,442800000.0,2734000.0
CHS323.9x25,323.9,25.0,184.3,1018.0,23476.0,14945.0,264000000.0,106.0,1630000.0,2239000.0,528000000.0,3260000.0
CHS355.6x6.3,355.6,6.3,54.3,1117.0,6913.0,4401.0,105500000.0,123.5,593200.0,768700.0,210900000.0,1186000.0
CHS355.6x8,355.6,8.0,68.6,1117.0,8736.0,5562.0,132000000.0,122.9,742500.0,966800.0,264000000.0,1485000.0
CHS355.6x10,355.6,10.0,85.2,1117.0,10857.0,6912.0,162200000.0,122.2,912500.0,1195000.0,324500000.0,1825000.0
CHS355.6x12.5,355.6,12.5,105.8,1117.0,13474.0,8578.0,198500000.0,121.4,1117000.0,1472000.0,397000000.0,2233000.0
CHS355.6x14.2,355.6,14.2,119.6,1117.0,15230.0,9696.0,222300000.0,120.8,1250000.0,1656000.0,444500000.0,2500000.0
CHS355.6x16,355.6,16.0,134.0,1117.0,17070.0,10867.0,246600000.0,120.2,1387000.0,1847000.0,493300000.0,2774000.0
CHS355.6x20,355.6,20.0,165.5,1117.0,21086.0,13424.0,297900000.0,118.9,1676000.0,2255000.0,595800000.0,3351000.0
CHS355.6x25,355.6,25.0,203.8,1117.0,25965.0,16530.0,356800000.0,117.2,2007000.0,2738000.0,713500000.0,4013000.0
CHS406.4x6.3,406.4,6.3,62.2,1277.0,7919.0,5041.0,158500000.0,141.5,780000.0,1009000.0,317000000.0,1560000.0
CHS406.4x8,406.4,8.0,78.6,1277.0,10013.0,6374.0,198700000.0,140.9,978000.0,1270000.0,397500000.0,1956000.0
CHS406.4x10,406.4,10.0,97.8,1277.0,12453.0,7928.0,244800000.0,140.2,1205000.0,1572000.0,489500000.0,2409000.0
CHS406.4x12.5,406.4,12.5,121.4,1277.0,15468.0,9848.0,300300000.0,139.3,1478000.0,1940000.0,600600000.0,2956000.0
CHS406.4x14.2,406.4,14.2,137.3,1277.0,17496.0,11138.0,336900000.0,138.8,1658000.0,2185000.0,673700000.0,3315000.0
CHS406.4x16,406.4,16.0,154.0,1277.0,19624.0,12493.0,374500000.0,138.1,1843000.0,2440000.0,749000000.0,3686000.0
CHS406.4x20,406.4,20.0,190.6,1277.0,24278.0,15456.0,454300000.0,136.8,2236000.0,2989000.0,908600000.0,4472000.0
CHS406.4x25,406.4,25.0,235.1,1277.0,29955.0,19070.0,547000000.0,135.1,2692000.0,3642000.0,1094000000.0,5384000.0
CHS406.4x30,406.4,30.0,278.5,1277.0,35475.0,22584.0,632200000.0,133.5,3111000.0,4259000.0,1264000000.0,6223000.0
CHS406.4x40,406.4,40.0,361.4,1277.0,46043.0,29312.0,781900000.0,130.3,3848000.0,5391000.0,1564000000.0,7696000.0
CHS457x6.3,457.0,6.3,70.0,1436.0,8920.0,5679.0,226500000.0,159.4,991400.0,1280000.0,453100000.0,1983000.0
CHS457x8,457.0,8.0,88.6,1436.0,11285.0,7184.0,284500000.0,158.8,1245000.0,1613000.0,568900000.0,2490000.0
CHS457x10,457.0,10.0,110.2,1436.0,14043.0,8940.0,350900000.0,158.1,1536000.0,1998000.0,701800000.0,3071000.0
